Green,Count,Min,Max,Mean,Mean2
66,174,62,88,73.49425287356321,5442.436781609195
67,174,64,89,74.34482758620689,5568.758620689655
68,170,64,90,75.44117647058823,5729.629411764706
69,179,66,92,76.55307262569832,5900.1843575419
70,171,67,92,77.22222222222223,6001.970760233919
71,168,67,93,78.4702380952381,6195.589285714285
72,167,68,93,79.05988023952096,6287.790419161676
73,165,70,95,80.3030303030303,6483.345454545454
74,165,71,94,81.15757575757576,6620.369696969697
75,161,72,97,82.3167701863354,6813.521739130435
76,164,73,98,83.39634146341463,6991.213414634146
77,164,74,97,84.29268292682927,7138.731707317073
78,157,75,98,85.31210191082802,7311.261146496815
79,162,76,99,86.22222222222223,7467.2962962962965
80,162,77,100,87.20987654320987,7638.901234567901
81,151,78,101,88.49668874172185,7861.026490066225
82,157,79,101,89.12101910828025,7973.796178343949
83,151,79,102,90.21854304635761,8169.860927152318
84,152,81,102,90.98684210526316,8308.105263157895
85,147,81,104,92.08843537414965,8511.489795918367
86,143,83,105,93.13286713286713,8703.048951048951
87,143,83,105,93.96503496503496,8856.454545454546
88,142,84,106,95.36619718309859,9123.394366197183
89,138,87,108,96.28260869565217,9296.036231884058
90,133,87,108,97.17293233082707,9469.533834586466
91,140,89,109,97.98571428571428,9626.842857142858
92,134,90,110,99.1044776119403,9846.313432835821
93,131,91,111,99.49618320610686,9922.748091603053
94,140,91,113,101.05,10240.292857142857
95,136,91,113,101.30147058823529,10288.242647058823
96,123,93,112,102.60975609756098,10552.560975609756
97,125,94,114,103.632,10762.88
98,114,95,116,104.91228070175438,11030.719298245614
99,108,95,117,104.98148148148148,11042.907407407407
100,91,98,114,106.21978021978022,11301.010989010989
101,86,99,115,106.33720930232558,11326.616279069767
102,80,100,117,107.95,11670.1
103,74,101,117,109.32432432432432,11969.567567567568
104,62,102,118,109.90322580645162,12096.806451612903
105,61,103,120,111.1639344262295,12375.131147540984
106,73,104,121,112.3013698630137,12629.287671232876
107,59,107,122,114.1864406779661,13055.372881355932
108,67,106,124,115.1044776119403,13269.462686567163
109,57,107,125,116.24561403508773,13530.736842105263
110,60,108,125,116.55,13602.45
111,62,109,126,117.64516129032258,13857.451612903225
112,57,110,128,118.82456140350877,14137.350877192983
113,53,111,128,120.16981132075472,14456.471698113208
114,60,112,129,120.86666666666666,14624.933333333332
115,55,114,130,121.96363636363637,14892.10909090909
116,52,115,131,123.15384615384616,15182.923076923076
117,53,118,133,124.47169811320755,15508.66037735849
118,47,117,133,125.25531914893617,15704.95744680851
119,50,118,137,126.38,15988.82
120,47,120,135,127.17021276595744,16188.063829787234
121,44,122,137,128.38636363636363,16497.113636363636
122,40,124,141,130.375,17013.675
123,43,123,141,130.8139534883721,17129.46511627907
124,44,125,142,131.9318181818182,17423.295454545456
125,39,126,141,133.07692307692307,17727.28205128205
