Green,Count,Min,Max,Mean,Mean2
0,0,0,0,0.0,0.0
1,0,0,0,0.0,0.0
2,0,0,0,0.0,0.0
3,0,0,0,0.0,0.0
4,0,0,0,0.0,0.0
5,0,0,0,0.0,0.0
6,0,0,0,0.0,0.0
7,0,0,0,0.0,0.0
8,0,0,0,0.0,0.0
9,0,0,0,0.0,0.0
10,0,0,0,0.0,0.0
11,0,0,0,0.0,0.0
12,0,0,0,0.0,0.0
13,0,0,0,0.0,0.0
14,1,15,15,15.0,225.0
15,2,14,14,14.0,196.0
16,8,14,21,17.25,302.25
17,8,15,34,19.25,403.75
18,10,15,35,19.9,424.7
19,11,17,32,21.0,456.45454545454544
20,20,17,38,23.9,604.9
21,19,18,39,26.57894736842105,754.578947368421
22,25,20,51,27.2,791.04
23,33,21,52,31.060606060606062,1042.4545454545455
24,38,22,53,34.5,1272.7631578947369
25,54,22,54,36.574074074074076,1427.0555555555557
26,47,25,55,37.57446808510638,1485.404255319149
27,45,26,55,40.022222222222226,1665.7555555555555
28,49,28,59,44.285714285714285,2023.6326530612246
29,42,29,58,43.19047619047619,1930.2857142857142
30,49,30,59,46.55102040816327,2214.183673469388
31,58,31,62,46.36206896551724,2216.0862068965516
32,61,33,61,48.442622950819676,2393.2950819672133
33,71,33,64,49.59154929577465,2521.7323943661972
34,72,36,67,50.625,2613.7916666666665
35,73,35,63,50.19178082191781,2567.753424657534
36,83,34,68,50.98795180722892,2659.5421686746986
37,90,37,67,53.111111111111114,2871.4666666666667
38,89,38,71,53.842696629213485,2959.191011235955
39,99,39,69,54.75757575757576,3053.282828282828
40,107,38,73,55.51401869158879,3135.7943925233644
41,107,41,70,55.96261682242991,3184.0934579439254
42,119,42,75,57.52100840336134,3372.81512605042
43,122,42,72,57.32786885245902,3340.2295081967213
44,129,44,77,60.263565891472865,3691.2713178294575
45,139,45,78,60.510791366906474,3721.517985611511
46,139,46,79,61.94964028776978,3897.7194244604316
47,142,48,79,62.774647887323944,4000.3802816901407
48,151,47,81,63.81456953642384,4138.145695364238
49,151,49,80,63.88741721854305,4142.0331125827815
50,157,49,83,65.18471337579618,4311.15923566879
51,162,50,84,65.60493827160494,4366.283950617284
52,164,51,83,66.32926829268293,4463.243902439024
53,169,52,86,67.02366863905326,4560.704142011834
54,165,53,83,67.80606060606061,4654.703030303031
55,180,54,84,68.60555555555555,4768.9944444444445
56,172,54,87,69.5,4892.03488372093
57,182,55,86,70.21978021978022,4992.538461538462
58,185,56,90,71.51351351351352,5179.481081081081
59,179,58,89,71.87150837988827,5227.17877094972
60,183,58,91,72.69398907103825,5344.245901639344
61,182,59,92,73.70879120879121,5495.247252747253
62,193,59,93,74.69430051813471,5642.093264248705
63,197,60,94,75.52791878172589,5769.568527918782
64,195,60,94,76.23076923076923,5877.533333333334
65,207,63,97,78.04347826086956,6156.19806763285
66,200,62,96,78.42,6215.11
67,201,63,98,78.82089552238806,6273.855721393034
68,200,65,98,80.64,6564.55
