Green,Count,Min,Max,Mean,Mean2
69,208,65,98,80.64423076923077,6565.625
70,201,67,99,81.61691542288557,6722.253731343284
71,209,67,101,82.72727272727273,6906.2488038277515
72,211,68,101,83.36018957345972,7012.052132701422
73,226,68,103,84.33628318584071,7178.66371681416
74,209,70,103,85.1244019138756,7305.181818181818
75,209,70,104,86.02870813397129,7463.684210526316
76,207,71,104,86.32367149758454,7513.009661835748
77,208,72,105,87.17788461538461,7660.283653846154
78,219,74,107,88.76712328767124,7945.324200913242
79,212,74,108,88.87735849056604,7964.018867924528
80,222,74,109,90.28378378378379,8216.932432432432
81,220,75,110,90.72272727272727,8302.059090909092
82,214,77,111,91.8644859813084,8503.985981308411
83,225,77,112,92.83111111111111,8689.542222222222
84,227,78,111,93.06167400881057,8727.881057268722
85,224,79,112,94.75892857142857,9044.535714285714
86,221,80,114,94.80090497737557,9049.307692307691
87,221,81,113,95.53393665158372,9190.058823529413
88,224,82,116,96.52678571428571,9380.74107142857
89,225,83,116,97.62666666666667,9594.791111111112
90,229,84,115,98.63755458515284,9791.95633187773
91,231,85,116,99.78787878787878,10021.294372294373
92,228,86,120,100.61842105263158,10187.907894736842
93,240,87,119,102.05,10481.308333333332
94,231,88,119,102.17748917748918,10501.718614718615
95,231,89,121,103.74458874458874,10824.670995670996
96,224,90,122,104.31696428571429,10942.90625
97,219,91,122,105.48858447488584,11187.826484018266
98,219,92,123,106.30593607305936,11360.616438356165
99,220,93,124,107.42272727272727,11598.15909090909
100,219,94,124,108.20547945205479,11766.260273972603
101,214,95,127,109.32242990654206,12010.714953271028
102,211,96,127,109.96208530805687,12146.11374407583
103,214,97,129,111.08878504672897,12396.677570093458
104,208,98,129,111.54326923076923,12493.072115384615
105,206,99,130,112.99514563106796,12821.160194174758
106,207,100,129,113.94202898550725,13034.579710144928
107,202,101,131,114.81188118811882,13234.376237623763
108,194,102,133,115.84020618556701,13469.314432989691
109,190,103,131,116.7421052631579,13676.668421052631
110,181,104,133,117.34806629834254,13817.635359116022
111,182,105,135,118.71428571428571,14140.89010989011
112,182,106,134,119.7032967032967,14376.747252747253
113,171,107,134,120.60233918128655,14590.134502923976
114,169,108,135,121.48520710059172,14802.85798816568
115,164,109,137,122.02439024390245,14934.378048780487
116,158,110,136,123.26582278481013,15233.79746835443
117,161,111,139,124.22360248447205,15473.391304347826
118,150,113,139,125.38666666666667,15761.186666666666
119,148,113,141,126.08783783783784,15936.817567567568
120,137,115,142,127.16058394160584,16203.131386861314
121,140,115,142,128.24285714285713,16485.085714285713
122,138,116,143,129.1014492753623,16703.420289855072
123,135,119,142,130.35555555555555,17024.91851851852
124,131,119,145,131.45801526717557,17315.1679389313
125,128,120,144,132.625,17623.328125
126,123,121,146,134.2439024390244,18051.39837398374
127,128,122,147,134.9140625,18235.3984375
128,119,123,148,136.07563025210084,18547.73949579832
129,120,123,149,137.26666666666668,18876.75
130,112,124,150,137.64285714285714,18976.98214285714
131,116,125,151,138.50862068965517,19213.456896551725
132,105,127,152,139.42857142857142,19469.92380952381
133,105,128,153,140.94285714285715,19893.361904761903
134,98,129,152,141.35714285714286,20006.663265306124
135,95,130,153,142.2842105263158,20273.673684210527
136,95,132,154,143.07368421052632,20495.78947368421
137,91,133,155,144.15384615384616,20804.98901098901
138,77,134,155,145.4805194805195,21185.74025974026
139,80,135,157,145.6,21225.075
140,75,135,157,146.85333333333332,21592.586666666666
141,63,138,158,147.4126984126984,21747.571428571428
142,56,139,159,148.30357142857142,22010.660714285714
143,58,140,160,149.93103448275863,22502.55172413793
144,61,140,161,150.36065573770492,22636.55737704918
145,36,141,159,150.5,22672.055555555555
146,34,142,158,150.05882352941177,22536.823529411766
147,34,144,159,150.7941176470588,22759.852941176472
148,30,146,165,154.5,23895.3
149,30,148,166,155.5,24202.633333333335
150,26,147,162,154.84615384615384,24003.69230769231
151,23,149,164,156.8695652173913,24626.434782608696
152,23,150,164,157.08695652173913,24695.956521739132
153,21,150,163,158.0952380952381,25011.714285714286
154,15,152,166,160.13333333333333,25660.8
155,18,152,167,161.27777777777777,26031.055555555555
156,14,153,168,162.42857142857142,26407.571428571428
157,10,154,167,161.6,26133.4
158,10,154,168,161.1,25974.7
159,11,156,169,161.27272727272728,26024.909090909092
160,8,157,170,161.5,26107.25
161,7,157,169,159.85714285714286,25569.285714285714
162,5,159,162,160.6,25793.4
163,6,160,163,161.83333333333334,26191.166666666668
164,5,162,163,162.6,26439.0
165,6,162,165,163.5,26733.166666666668
166,6,162,166,164.16666666666666,26952.5
167,3,165,166,165.66666666666666,27445.666666666668
168,2,165,167,166.0,27557.0
169,1,168,168,168.0,28224.0
170,1,168,168,168.0,28224.0
171,0,0,0,0.0,0.0
172,0,0,0,0.0,0.0
173,0,0,0,0.0,0.0
174,0,0,0,0.0,0.0
175,1,177,177,177.0,31329.0
176,0,0,0,0.0,0.0
177,1,174,174,174.0,30276.0
178,0,0,0,0.0,0.0
179,0,0,0,0.0,0.0
180,0,0,0,0.0,0.0
181,0,0,0,0.0,0.0
182,0,0,0,0.0,0.0
183,0,0,0,0.0,0.0
184,0,0,0,0.0,0.0
185,0,0,0,0.0,0.0
186,0,0,0,0.0,0.0
187,0,0,0,0.0,0.0
188,0,0,0,0.0,0.0
189,0,0,0,0.0,0.0
190,0,0,0,0.0,0.0
191,0,0,0,0.0,0.0
192,0,0,0,0.0,0.0
193,0,0,0,0.0,0.0
194,0,0,0,0.0,0.0
195,0,0,0,0.0,0.0
196,0,0,0,0.0,0.0
197,0,0,0,0.0,0.0
198,0,0,0,0.0,0.0
199,0,0,0,0.0,0.0
200,0,0,0,0.0,0.0
201,0,0,0,0.0,0.0
202,0,0,0,0.0,0.0
203,0,0,0,0.0,0.0
204,0,0,0,0.0,0.0
205,0,0,0,0.0,0.0
206,0,0,0,0.0,0.0
207,0,0,0,0.0,0.0
208,0,0,0,0.0,0.0
209,0,0,0,0.0,0.0
210,0,0,0,0.0,0.0
211,0,0,0,0.0,0.0
212,0,0,0,0.0,0.0
213,0,0,0,0.0,0.0
214,0,0,0,0.0,0.0
215,0,0,0,0.0,0.0
216,0,0,0,0.0,0.0
217,0,0,0,0.0,0.0
218,0,0,0,0.0,0.0
219,0,0,0,0.0,0.0
220,0,0,0,0.0,0.0
221,0,0,0,0.0,0.0
222,0,0,0,0.0,0.0
223,0,0,0,0.0,0.0
224,0,0,0,0.0,0.0
225,0,0,0,0.0,0.0
226,0,0,0,0.0,0.0
227,0,0,0,0.0,0.0
228,0,0,0,0.0,0.0
229,0,0,0,0.0,0.0
230,0,0,0,0.0,0.0
231,0,0,0,0.0,0.0
232,0,0,0,0.0,0.0
233,0,0,0,0.0,0.0
234,0,0,0,0.0,0.0
235,0,0,0,0.0,0.0
236,0,0,0,0.0,0.0
237,0,0,0,0.0,0.0
238,0,0,0,0.0,0.0
239,0,0,0,0.0,0.0
240,0,0,0,0.0,0.0
241,0,0,0,0.0,0.0
242,0,0,0,0.0,0.0
243,0,0,0,0.0,0.0
244,0,0,0,0.0,0.0
245,0,0,0,0.0,0.0
246,0,0,0,0.0,0.0
247,0,0,0,0.0,0.0
248,0,0,0,0.0,0.0
249,0,0,0,0.0,0.0
250,0,0,0,0.0,0.0
251,0,0,0,0.0,0.0
252,0,0,0,0.0,0.0
253,0,0,0,0.0,0.0
254,0,0,0,0.0,0.0
255,0,0,0,0.0,0.0
